hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.93544,0.9918161,107.6
100,0.89704,0.9835272,107.6
100,0.752641,0.723963,107.6
100,0.6437083,0.617401,107.6
101,0.5364414,0.7847099,107.6
100,0.3511741,0.8683639,107.6
100,0.133307,0.9334109,107.6
99,-0.1203595,0.6872951,107.6
99,-0.2350263,0.6106768,107.6
97,-0.3942263,0.6536379,107.6
97,-0.6203586,0.4545288,107.6
97,-0.6980913,0.7148833,107.6
96,-1.024423,0.8566706,107.6
95,-1.357623,0.8811246,107.6
95,-1.710422,1.055891,107.6
94,-2.191551,0.6440456,107.6
94,-2.286751,0.5426124,107.6
94,-2.468082,0.7821447,107.6
94,-2.885145,0.8786918,107.6
94,-3.279541,0.6715456,107.6
94,-3.479006,0.5795825,107.6
94,-3.678471,0.3942806,107.6
94,-3.764603,0.5570493,107.6
94,-4.059268,0.5223343,107.6
94,-4.254199,0.3772675,107.6
95,-4.348265,0.3279532,107.6
95,-4.440665,0.651596,107.6
94,-4.826663,0.8134164,107.6
94,-5.221059,0.6505179,107.6
94,-5.42959,0.5574586,107.6
94,-5.615455,0.7779578,107.6
94,-6.014385,0.6095685,107.6
95,-6.195383,0.560204,107.6
95,-6.396982,0.3962023,107.6
95,-6.480982,0.3025905,107.6
95,-6.560781,0.2557855,107.6
95,-6.636381,0.2556022,107.6
95,-6.732981,0.2439004,107.6
95,-6.82958,0.2496606,107.6
95,-6.91358,0.3918591,107.6
94,-7.125246,0.6835489,107.6
94,-7.510575,0.5623641,107.6
95,-7.691974,0.5366018,107.6
95,-7.880973,0.7559193,107.6
96,-8.241282,0.6217703,107.6
96,-8.407528,0.566304,107.6
96,-8.577641,1.60669,107.6
97,-9.52547,1.035544,107.6
97,-9.670338,0.6454822,107.6
97,-9.751605,0.4272314,107.6
97,-9.811672,0.3297141,107.6
97,-9.889406,0.2809573,107.6
97,-9.963607,0.244969,107.6
97,-10.03074,0.3546832,107.6
97,-10.17208,0.3863221,107.6
97,-10.31341,0.4253598,107.6
98,-10.45761,0.4332705,107.6
98,-10.58559,0.3327336,107.6
98,-10.64958,0.2824671,107.6
98,-10.71358,0.3618242,107.6
99,-10.84563,0.4015008,107.6
99,-10.9603,0.3052407,107.6
99,-11.00617,0.2687187,107.6
99,-11.06637,0.36656,107.6
99,-11.18964,0.3922586,107.6
99,-11.30717,0.43994,107.6
99,-11.42471,0.4405587,107.6
98,-11.5485,0.4292599,107.6
98,-11.67648,0.4468287,107.6
99,-11.79473,0.3279046,107.6
99,-11.8492,0.2916626,107.6
