hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.997848,0.997848,107.6
103,0.9966013,0.9865432,107.6
103,0.9936863,0.9808905,107.6
104,0.9894914,0.9664546,107.6
103,0.9858866,0.9592362,107.6
103,0.9814885,0.978847,107.6
103,0.9768347,0.9770424,107.6
103,0.9724877,0.9645306,107.6
103,0.9680385,0.9698842,107.6
102,0.9632499,0.984171,107.6
102,0.9577739,0.9448748,107.6
102,0.9525468,1.087766,107.6
102,0.9458262,0.8805728,107.6
103,0.9424406,0.9511249,107.6
103,0.9377868,0.9631819,107.6
102,0.9330843,0.9576003,107.6
102,0.927795,0.9431986,107.6
102,0.9225057,0.9708287,107.6
101,0.9166724,0.9730338,107.6
100,0.9100999,0.9741353,107.6
99,0.9029098,0.9630771,107.6
99,0.8945017,0.980767,107.6
98,0.8847576,0.9663929,107.6
98,0.8759022,0.9359857,107.6
98,0.8670467,0.9788314,107.6
98,0.857231,0.9770351,107.6
98,0.8479488,0.9645269,107.6
99,0.8396028,0.9698819,107.6
100,0.8319555,0.7287516,107.6
100,0.8284926,0.6197946,107.6
102,0.8252834,1.633435,107.6
103,0.812156,1.048916,107.6
103,0.8101103,0.7566588,107.6
104,0.8083525,0.7150184,107.6
104,0.8058729,0.7986885,107.6
104,0.8027533,0.8521335,107.6
103,0.7989721,0.8788561,107.6
103,0.7948297,0.764507,107.6
103,0.7918636,0.7305526,107.6
103,0.7885906,0.8180656,107.6
103,0.7845504,0.8386021,107.6
104,0.7812237,0.75599,107.6
104,0.778864,0.714684,107.6
104,0.7763843,0.8217413,107.6
104,0.7730647,0.8404399,107.6
106,0.7705766,0.768519,107.6
106,0.7695286,0.8022187,107.6
105,0.7674096,0.7494084,107.6
104,0.7653267,0.8507136,107.6
104,0.7618071,0.866536,107.6
104,0.7587675,0.6422486,107.6
102,0.756901,0.7739117,107.6
102,0.751985,0.8281351,107.6
102,0.7468824,0.6462682,107.6
102,0.7443933,0.7759234,107.6
101,0.7384771,0.829141,107.6
100,0.7320435,0.6351591,107.6
100,0.7285807,0.7703689,107.6
100,0.7217394,0.6173831,107.6
100,0.7184455,0.7382608,107.6
99,0.710835,0.7174313,107.6
100,0.7051841,0.6837946,107.6
100,0.700201,0.8062966,107.6
100,0.6930219,0.6121269,107.6
100,0.689728,0.7472427,107.6
101,0.6837467,0.6058201,107.6
102,0.680763,0.6279909,107.6
102,0.6772783,0.6506845,107.6
102,0.6734202,0.7781315,107.6
102,0.6682553,0.6096544,107.6
103,0.666092,0.7576165,107.6
103,0.6620519,0.622617,107.6
103,0.659904,0.6363894,107.6
103,0.6568356,0.6548837,107.6
103,0.6538182,0.6641308,107.6
103,0.6506475,0.6687544,107.6
103,0.6475791,0.659458,107.6
103,0.6445106,0.666418,107.6
103,0.6414422,0.669898,107.6
103,0.6383226,0.6832461,107.6
103,0.6350496,0.5506036,107.6
103,0.6333108,0.7397031,107.6
103,0.6288615,0.5904402,107.6
103,0.6270205,0.6319091,107.6
103,0.6237986,0.6410354,107.6
103,0.6208324,0.6572067,107.6
103,0.6177129,0.5491921,107.6
103,0.6156672,0.611285,107.6
103,0.6126499,0.5262312,107.6
104,0.6109544,0.5998046,107.6
104,0.6086347,0.6482033,107.6
104,0.606075,0.6491825,107.6
105,0.6037308,0.54518,107.6
105,0.6026034,0.609279,107.6
106,0.6007933,0.6297165,107.6
106,0.5997631,0.6631592,107.6
106,0.5986796,0.5521683,107.6
106,0.5979514,0.5082847,107.6
106,0.5972586,0.6953198,107.6
106,0.5958377,0.5798605,107.6
106,0.5950561,0.6150111,107.6
106,0.5940614,0.6441945,107.6
106,0.5929602,0.5542979,107.6
106,0.5922142,0.4977376,107.6
106,0.5915214,0.6900462,107.6
106,0.5901005,0.5772237,107.6
106,0.5893545,0.5208125,107.6
105,0.5881894,0.5854833,107.6
105,0.5865417,0.6410426,107.6
105,0.5847204,0.54111,107.6
105,0.5835352,0.4795355,107.6
107,0.5829303,0.6925571,107.6
107,0.5823628,0.5668672,107.6
108,0.5824881,0.6201226,107.6
