hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
0,0.9019649,1.804395,107.6
130,0.9019662,1.804395,107.6
130,0.9019674,1.804395,107.6
130,0.9019687,1.804395,107.6
130,0.9019699,1.804395,107.6
130,0.9019712,1.804395,107.6
130,0.9019724,1.804395,107.6
130,0.9019737,1.804395,107.6
130,0.9019749,1.804395,107.6
130,0.9019762,1.804395,107.6
130,0.9019774,1.804395,107.6
130,0.9019787,1.804395,107.6
130,0.9019799,1.804395,107.6
130,0.9019812,1.804395,107.6
130,0.9019824,1.804395,107.6
130,0.9019837,1.804395,107.6
130,0.9019849,1.804395,107.6
130,0.9019862,1.804395,107.6
130,0.9019874,1.804395,107.6
130,0.9019887,1.804395,107.6
130,0.9019899,1.804395,107.6
130,0.9019912,1.804395,107.6
130,0.9019924,1.804395,107.6
130,0.9019937,1.804395,107.6
130,0.9019949,1.804395,107.6
130,0.9019962,1.804395,107.6
130,0.9019974,1.804395,107.6
130,0.9019987,1.804395,107.6
130,0.902,1.804395,107.6
130,0.9020012,1.804395,107.6
130,0.9020025,1.804395,107.6
130,0.9020037,1.804395,107.6
130,0.902005,1.804395,107.6
130,0.9020062,1.804395,107.6
130,0.9020075,1.804395,107.6
130,0.9020087,1.804395,107.6
130,0.90201,1.804395,107.6
130,0.9020112,1.804395,107.6
130,0.9020125,1.804395,107.6
130,0.9020137,1.804395,107.6
130,0.902015,1.804395,107.6
130,0.9020162,1.804395,107.6
130,0.9020175,1.804395,107.6
130,0.9020187,1.804395,107.6
130,0.90202,1.804395,107.6
130,0.9020212,1.804395,107.6
130,0.9020225,1.804395,107.6
130,0.9020237,1.804395,107.6
130,0.9021482,1.804395,107.6
130,0.9022726,1.804395,107.6
130,0.9023971,1.804395,107.6
130,0.9025216,1.804395,107.6
130,0.902646,1.804395,107.6
130,0.9027705,1.804395,107.6
130,0.9028949,1.804395,107.6
130,0.9030194,1.804395,107.6
130,0.9031438,1.804395,107.6
130,0.9032683,1.804395,107.6
130,0.9033927,1.804395,107.6
130,0.9035172,1.804395,107.6
130,0.9036416,1.804395,107.6
130,0.9037661,1.804395,107.6
130,0.9038906,1.804395,107.6
130,0.904015,1.804395,107.6
130,0.9041395,1.804395,107.6
130,0.9042639,1.804395,107.6
130,0.9043884,1.804395,107.6
130,0.9045128,1.804395,107.6
130,0.9046373,1.804395,107.6
130,0.9047617,1.804395,107.6
130,0.9048862,1.804395,107.6
130,0.9050106,1.804395,107.6
130,0.9051351,1.804395,107.6
130,0.9052595,1.804395,107.6
130,0.905384,1.804395,107.6
130,0.9055085,1.804395,107.6
130,0.9056329,1.804395,107.6
130,0.9057574,1.804395,107.6
130,0.9058818,1.804395,107.6
130,0.9060063,1.804395,107.6
130,0.9061307,1.804395,107.6
130,0.9062552,1.804395,107.6
130,0.9063796,1.804395,107.6
130,0.9065041,1.804395,107.6
130,0.9066285,1.804395,107.6
130,0.906753,1.804395,107.6
130,0.9068775,1.804395,107.6
130,0.9070019,1.804395,107.6
130,0.9071264,1.804395,107.6
130,0.9072508,1.804395,107.6
130,0.9073753,1.804395,107.6
130,0.9074997,1.804395,107.6
130,0.9076242,1.804395,107.6
130,0.9077486,1.804395,107.6
130,0.9078731,1.804395,107.6
130,0.9079975,1.804395,107.6
130,0.908122,1.804395,107.6
130,0.9082465,1.804395,107.6
130,0.9083709,1.804395,107.6
129,0.9084898,1.804395,107.6
129,0.9086087,1.804395,107.6
129,0.9087276,1.804395,107.6
129,0.9088466,1.804395,107.6
129,0.9089655,1.804395,107.6
129,0.9090844,1.804395,107.6
129,0.9092033,1.804395,107.6
129,0.9093222,1.804395,107.6
129,0.9094411,1.804395,107.6
129,0.90956,1.804395,107.6
129,0.9096789,1.804395,107.6
129,0.9097978,1.804395,107.6
129,0.9099168,1.804395,107.6
129,0.9100357,1.804395,107.6
129,0.9101546,1.804395,107.6
129,0.9102735,1.804395,107.6
129,0.9103924,1.804395,107.6
129,0.9105113,1.804395,107.6
129,0.9106302,1.804395,107.6
129,0.9107491,1.804395,107.6
129,0.910868,1.804395,107.6
129,0.910987,1.804395,107.6
129,0.9111059,1.804395,107.6
129,0.9112248,1.804395,107.6
129,0.9113437,1.804395,107.6
129,0.9114626,1.804395,107.6
129,0.9115815,1.804395,107.6
129,0.9117004,1.804395,107.6
129,0.9118193,1.804395,107.6
129,0.9119383,1.804395,107.6
129,0.9120572,1.804395,107.6
129,0.9121761,1.804395,107.6
129,0.912295,1.804395,107.6
129,0.9124139,1.804395,107.6
129,0.9125328,1.804395,107.6
129,0.9126517,1.804395,107.6
129,0.9127706,1.804395,107.6
129,0.9128895,1.804395,107.6
129,0.9130085,1.804395,107.6
129,0.9131274,1.804395,107.6
129,0.9132463,1.804395,107.6
129,0.9133652,1.804395,107.6
129,0.9134841,1.804395,107.6
129,0.913603,1.804395,107.6
129,0.9137219,1.804395,107.6
129,0.9138408,1.804395,107.6
129,0.9139597,1.804395,107.6
129,0.9140787,1.804395,107.6
129,0.9141976,1.804395,107.6
129,0.9143165,1.804395,107.6
129,0.9144354,1.804395,107.6
129,0.9145543,1.804395,107.6
129,0.9146732,1.804395,107.6
129,0.9147921,1.804395,107.6
129,0.914911,1.804395,107.6
129,0.9150299,1.804395,107.6
129,0.9151489,1.804395,107.6
129,0.9152678,1.804395,107.6
129,0.9153867,1.804395,107.6
129,0.9155056,1.804395,107.6
129,0.9156245,1.804395,107.6
129,0.9157434,1.804395,107.6
129,0.9158623,1.804395,107.6
129,0.9159812,1.804395,107.6
129,0.9161001,1.804395,107.6
129,0.9162191,1.804395,107.6
129,0.916338,1.804395,107.6
129,0.9164569,1.804395,107.6
129,0.9165758,1.804395,107.6
129,0.9166947,1.804395,107.6
129,0.9168136,1.804395,107.6
129,0.9169325,1.804395,107.6
129,0.9170514,1.804395,107.6
129,0.9171703,1.804395,107.6
129,0.9172893,1.804395,107.6
129,0.9174082,1.804395,107.6
129,0.9175271,1.804395,107.6
129,0.917646,1.804395,107.6
129,0.9177649,1.804395,107.6
129,0.9178838,1.804395,107.6
129,0.9180027,1.804395,107.6
129,0.9181216,1.804395,107.6
129,0.9182405,1.804395,107.6
129,0.9183595,1.804395,107.6
129,0.9184784,1.804395,107.6
129,0.9185973,1.804395,107.6
129,0.9187162,1.804395,107.6
129,0.9188351,1.804395,107.6
129,0.918954,1.804395,107.6
129,0.9190729,1.804395,107.6
129,0.9191918,1.804395,107.6
129,0.9193107,1.804395,107.6
129,0.9194297,1.804395,107.6
129,0.9195486,1.804395,107.6
129,0.9196675,1.804395,107.6
129,0.9197864,1.804395,107.6
129,0.9199053,1.804395,107.6
129,0.9200242,1.804395,107.6
129,0.9201431,1.804395,107.6
129,0.920262,1.804395,107.6
129,0.9203809,1.804395,107.6
